t,kid_k,c_parameter,I_predict,W_cost,eta_thermo,eta_toast,magnetization,correlation_length,energy
2400,0.005375847610845685,0.001075169522169137,0.26879238054228427,4.01,0.06703051883847488,0.004291445065929206,0.3333333333333333,1,-2.0
2450,0.0001017620780020323,2.035241560040646e-05,0.005088103900101615,0.01,0.5088103900101615,8.140634873622165e-05,0.0,1,2.0
2500,3.7702977804410234e-05,7.540595560882047e-06,0.0018851488902205116,4.01,0.000470111942698382,3.016192736402199e-05,0.06666666666666667,1,2.0
2550,0.002287436904510032,0.00045748738090200635,0.11437184522550159,24.01,0.004763508755747671,0.0018282763142743108,0.26666666666666666,2,10.0
2600,3.250913522805377e-05,6.501827045610754e-06,0.0016254567614026882,16.01,0.00010152759284214166,2.6006969995701817e-05,0.13333333333333333,3,-10.0
2650,0.0010824725743139752,0.00021649451486279505,0.05412362871569876,0.01,5.412362871569876,0.0008656032221811659,0.06666666666666667,0,-2.0
2700,9.310525813561732e-05,1.8621051627123465e-05,0.004655262906780866,4.01,0.0011609134430874979,7.448143263746311e-05,0.0,1,6.0
2750,0.00017313494831405762,3.4626989662811523e-05,0.008656747415702881,0.01,0.8656747415702881,0.00013849836692214317,0.06666666666666667,2,-2.0
2800,0.00020949622120789436,4.189924424157887e-05,0.010474811060394718,8.01,0.001307716736628554,0.00016758293347559505,0.06666666666666667,0,6.0
2850,0.007185095196444636,0.001437019039288927,0.35925475982223176,4.01,0.08958971566639197,0.00573159150903547,0.26666666666666666,1,6.0
2900,0.0010254879422119556,0.00020509758844239112,0.05127439711059778,4.01,0.012786632695909671,0.0008200539371041929,0.0,1,6.0
2950,9.425641812255137e-06,1.8851283624510274e-06,0.00047128209061275683,8.01,5.883671543230422e-05,7.540485020212956e-06,0.06666666666666667,0,2.0
3000,9.425641812255137e-06,1.8851283624510274e-06,0.00047128209061275683,4.01,0.00011752670588846804,7.540485020212956e-06,0.06666666666666667,1,6.0
3050,0.0053758476108456184,0.0010751695221691236,0.26879238054228094,0.01,26.879238054228093,0.004291445065929152,0.2,2,2.0
3100,0.0001402375313736881,2.8047506274737622e-05,0.007011876568684405,4.01,0.001748597648050974,0.00011218373206284182,0.06666666666666667,1,-2.0
3150,0.0026811808277094505,0.0005362361655418901,0.13405904138547253,4.01,0.03343118239039215,0.0021426461173751406,0.2,1,-2.0
3200,0.0010254879422119556,0.00020509758844239112,0.05127439711059778,12.01,0.004269308668659265,0.0008200539371041929,0.06666666666666667,1,6.0
3250,0.003721912246244008,0.0007443824492488016,0.1860956123122004,8.01,0.023232910401023772,0.00297310189983576,0.2,1,-2.0
3300,0.0012940691863721821,0.0002588138372744364,0.0647034593186091,4.01,0.016135526014615736,0.001034719680245564,0.06666666666666667,0,-2.0
3350,0.013890477398087997,0.0027780954796175995,0.6945238699043998,8.01,0.08670709986322096,0.011050895742690081,0.4666666666666667,3,-2.0
3400,9.31052581354841e-05,1.862105162709682e-05,0.004655262906774205,0.01,0.46552629067742046,7.448143263735653e-05,0.0,1,-6.0
3450,0.005440557858978079,0.0010881115717956157,0.27202789294890395,0.01,27.202789294890394,0.004342989830159091,0.26666666666666666,1,-2.0
3500,1.923607636937774e-05,3.847215273875548e-06,0.0009618038184688871,8.01,0.00012007538307976118,1.5388742687662596e-05,0.06666666666666667,1,-2.0
3550,0.0010254879422119556,0.00020509758844239112,0.05127439711059778,4.01,0.012786632695909671,0.0008200539371041929,0.06666666666666667,1,-6.0
3600,0.0007396399879505466,0.00014792799759010932,0.03698199939752733,0.01,3.698199939752733,0.0005915369676577635,0.0,2,2.0
3650,0.00631726710781102,0.001263453421562204,0.315863355390551,4.01,0.07876891655624714,0.005041067331582866,0.26666666666666666,2,-2.0
3700,0.005505657713035195,0.001101131542607039,0.27528288565175973,12.01,0.02292113952137883,0.0043948422428860745,0.2,2,10.0
3750,0.00011080370704750209,2.2160741409500418e-05,0.005540185352375104,4.01,0.0013815923572007742,8.863903698091653e-05,0.06666666666666667,0,-2.0
3800,0.002635883579662912,0.0005271767159325824,0.1317941789831456,12.01,0.0109737034956824,0.0021064852983024187,0.2,0,2.0
3850,0.001490486394438828,0.0002980972788877656,0.0745243197219414,4.01,0.018584618384524042,0.0011916785373975245,0.06666666666666667,0,2.0
3900,0.0028662413754401593,0.0005732482750880318,0.14331206877200797,8.01,0.017891644041449186,0.002290366450472492,0.2,1,10.0
3950,0.0027729367078645818,0.0005545873415729164,0.13864683539322908,4.01,0.0345752706716282,0.002215890874697664,0.2,2,-2.0
4000,0.0024585649226317894,0.0004917129845263578,0.12292824613158948,8.01,0.015346847207439385,0.0019649191105436323,0.13333333333333333,1,-2.0
4050,0.0007881430817741952,0.00015762861635483904,0.03940715408870976,8.01,0.004919744580363266,0.0006303157381626926,0.06666666666666667,1,6.0
4100,0.00020949622120789436,4.189924424157887e-05,0.010474811060394718,12.01,0.0008721741099412755,0.00016758293347559505,0.0,1,6.0
