t,kid_k,c_parameter,mean_ai,max_ai,entropy_production,eta_toast
25200,120.88,12.088,0.0,0,0.0,0.2822720452412408
25300,121.1,12.11,0.0,0,0.0,0.2818374826397071
25400,121.46,12.145999999999999,0.0,0,0.0,0.2811292359152251
25500,121.8,12.18,0.0,0,0.0,0.28046357082165696
25600,122.24,12.224,0.0,0,0.0,0.27960674994116913
25700,122.68,12.268,0.0,0,0.0,0.2787551071398481
25800,123.24,12.324,0.0,0,0.0,0.27767861399707505
25900,123.58,12.358,0.0,0,0.0,0.27702904440380144
26000,123.92,12.392,0.0,0,0.0,0.27638248338136573
26100,124.44,12.443999999999999,0.0,0,0.0,0.2753993977331204
26200,124.78,12.478,0.0,0,0.0,0.27476035482443883
26300,125.16,12.516,0.0,0,0.0,0.2740496044673326
26400,125.5,12.55,0.0,0,0.0,0.27341675630778445
26500,125.86,12.586,0.0,0,0.0,0.27274983606512615
26600,126.28,12.628,0.0,0,0.0,0.2719758324876984
26700,126.6,12.66,0.0,0,0.0,0.2713890359686938
26800,126.92,12.692,0.0,0,0.0,0.2708047475579992
26900,127.26,12.726,0.0,0,0.0,0.27018667147451453
27000,127.64,12.764,0.0,0,0.0,0.2694991867306742
27100,128.04,12.803999999999998,0.0,0,0.0,0.26877926102244776
27200,128.52,12.852,0.0,0,0.0,0.2679203750318223
27300,128.92,12.892,0.0,0,0.0,0.26720878905503515
27400,129.38,12.937999999999999,0.0,0,0.0,0.26639509109907045
27500,129.8,12.98,0.0,0,0.0,0.2656564354145816
27600,130.18,13.018,0.0,0,0.0,0.26499162430644524
27700,130.58,13.058000000000002,0.0,0,0.0,0.2642953837101222
27800,130.96,13.096,0.0,0,0.0,0.2636373123617394
27900,131.2,13.12,0.0,0,0.0,0.26322336267845825
28000,131.48,13.148,0.0,0,0.0,0.2627420502145061
28100,131.96,13.196000000000002,0.0,0,0.0,0.261920997989663
28200,132.38,13.238,0.0,0,0.0,0.26120674715299347
28300,132.68,13.268,0.0,0,0.0,0.26069893250192616
28400,132.98,13.297999999999998,0.0,0,0.0,0.26019307547139064
28500,133.38,13.338,0.0,0,0.0,0.2595216252552483
28600,133.8,13.38,0.0,0,0.0,0.25882029785612454
28700,134.16,13.416,0.0,0,0.0,0.25822215050240144
28800,134.52,13.452000000000002,0.0,0,0.0,0.25762674366307536
28900,134.8,13.48,0.0,0,0.0,0.2571655321876622
29000,135.22,13.522,0.0,0,0.0,0.2564767832462582
29100,135.6,13.559999999999999,0.0,0,0.0,0.25585678058205535
29200,135.92,13.591999999999999,0.0,0,0.0,0.2553369786857495
29300,136.26,13.626,0.0,0,0.0,0.254786983889239
29400,136.6,13.66,0.0,0,0.0,0.2542393386054805
29500,136.96,13.696000000000002,0.0,0,0.0,0.25366202320948245
29600,137.38,13.738,0.0,0,0.0,0.2529917732003336
29700,137.62,13.762,0.0,0,0.0,0.2526103513231417
29800,137.94,13.794,0.0,0,0.0,0.2521035633542889
29900,138.18,13.818000000000001,0.0,0,0.0,0.25172479670143966
30000,138.5,13.85,0.0,0,0.0,0.25122153068281017
30100,138.88,13.888,0.0,0,0.0,0.25062649405007503
30200,139.26,13.925999999999998,0.0,0,0.0,0.2500342526817143
30300,139.66,13.966,0.0,0,0.0,0.24941383908206993
30400,140.04,14.004,0.0,0,0.0,0.24882727442592223
30500,140.48,14.047999999999998,0.0,0,0.0,0.24815151147729006
30600,140.9,14.09,0.0,0,0.0,0.24750986021138466
30700,141.28,14.128,0.0,0,0.0,0.2469321546214765
30800,141.8,14.180000000000001,0.0,0,0.0,0.24614594128256265
30900,142.38,14.238,0.0,0,0.0,0.24527486280120397
31000,142.98,14.297999999999998,0.0,0,0.0,0.2443801746728578
31100,143.4,14.34,0.0,0,0.0,0.243757744917889
31200,143.86,14.386000000000001,0.0,0,0.0,0.24307964369518975
31300,144.36,14.436000000000002,0.0,0,0.0,0.24234681972008773
31400,144.76,14.475999999999999,0.0,0,0.0,0.24176371675072506
31500,145.04,14.504,0.0,0,0.0,0.24135720226931684
31600,145.38,14.538,0.0,0,0.0,0.2408654016533294
31700,145.8,14.580000000000002,0.0,0,0.0,0.24026062840183834
31800,146.16,14.616,0.0,0,0.0,0.23974465029561945
31900,146.52,14.652000000000001,0.0,0,0.0,0.2392308717676157
32000,146.86,14.686000000000002,0.0,0,0.0,0.23874764359440934
32100,147.34,14.734,0.0,0,0.0,0.23806873548839452
32200,147.76,14.776,0.0,0,0.0,0.2374778336878572
32300,148.12,14.812000000000001,0.0,0,0.0,0.23697366392578006
32400,148.56,14.856,0.0,0,0.0,0.2363603409494736
32500,148.84,14.884,0.0,0,0.0,0.23597168618797032
32600,149.26,14.925999999999998,0.0,0,0.0,0.23539108234936074
32700,149.76,14.975999999999999,0.0,0,0.0,0.23470358266493382
32800,150.1,15.01,0.0,0,0.0,0.23423836054995303
32900,150.4,15.040000000000001,0.0,0,0.0,0.2338293916082612
33000,150.76,15.075999999999999,0.0,0,0.0,0.23334050050020547
33100,151.18,15.118,0.0,0,0.0,0.23277269213874513
33200,151.54,15.154,0.0,0,0.0,0.23228818315185942
33300,151.82,15.181999999999999,0.0,0,0.0,0.23191272810282607
33400,152.08,15.208000000000002,0.0,0,0.0,0.2315651710390783
33500,152.4,15.24,0.0,0,0.0,0.23113882889660023
33600,152.82,15.282,0.0,0,0.0,0.23058161988069234
33700,153.22,15.322,0.0,0,0.0,0.23005342443500992
33800,153.56,15.356,0.0,0,0.0,0.2296063480204242
33900,154.04,15.404,0.0,0,0.0,0.2289781172195528
34000,154.4,15.440000000000001,0.0,0,0.0,0.22850918476684365
34100,154.8,15.48,0.0,0,0.0,0.22799038552172685
34200,155.26,15.526,0.0,0,0.0,0.2273966572925717
34300,155.68,15.568000000000001,0.0,0,0.0,0.22685723918237197
34400,156.1,15.61,0.0,0,0.0,0.22632036219957005
34500,156.66,15.666,0.0,0,0.0,0.22560844831489166
34600,157.1,15.709999999999999,0.0,0,0.0,0.22505220716979657
34700,157.46,15.746,0.0,0,0.0,0.22459912742967975
34800,157.82,15.782,0.0,0,0.0,0.2241478599837427
34900,158.18,15.818000000000001,0.0,0,0.0,0.22369839403701366
35000,158.56,15.856,0.0,0,0.0,0.22322590033132486
35100,158.84,15.884,0.0,0,0.0,0.22287901654395412
35200,159.12,15.912,0.0,0,0.0,0.22253320432598286
35300,159.56,15.956,0.0,0,0.0,0.2219919382812326
35400,159.94,15.994,0.0,0,0.0,0.22152658632752145
35500,160.42,16.041999999999998,0.0,0,0.0,0.2209415423413697
35600,160.78,16.078,0.0,0,0.0,0.22050477435077714
35700,161.08,16.108,0.0,0,0.0,0.22014211220206673
35800,161.46,16.146,0.0,0,0.0,0.21968444165422193
35900,161.8,16.18,0.0,0,0.0,0.21927655001280694
36000,162.14,16.214,0.0,0,0.0,0.2188701637054063
36100,162.46,16.246000000000002,0.0,0,0.0,0.2184890501763479
36200,162.7,16.27,0.0,0,0.0,0.2182040811673583
36300,162.98,16.298,0.0,0,0.0,0.2178725514018738
36400,163.3,16.330000000000002,0.0,0,0.0,0.21749488643950013
36500,163.68,16.368000000000002,0.0,0,0.0,0.21704809917422002
36600,163.94,16.394,0.0,0,0.0,0.21674345432189873
36700,164.4,16.44,0.0,0,0.0,0.2162065482703476
36800,164.74,16.474,0.0,0,0.0,0.2158114040462791
36900,165.24,16.524,0.0,0,0.0,0.2152329155161049
37000,165.54,16.554,0.0,0,0.0,0.2148873024879144
37100,165.88,16.588,0.0,0,0.0,0.21449694156947105
37200,166.26,16.625999999999998,0.0,0,0.0,0.21406232391214056
37300,166.62,16.662,0.0,0,0.0,0.2136521957930675
37400,167.08,16.708000000000002,0.0,0,0.0,0.21313041535326813
37500,167.58,16.758000000000003,0.0,0,0.0,0.21256613406448907
